industry,r2_score,mae,rmse,slope,pred_2030
Government,0.05873996898970424,0.04251796582403018,0.05696648546069059,0.0030871093069466432,0.30189937614820206
Energy,0.006277673394153749,0.05071042378454383,0.06265210925192763,0.00108024698828736,0.28697629179251694
Manufacturing,0.005950283661921629,0.03696246681573255,0.04365127322729893,0.000732625837241715,0.2690059990411966
Education,0.00019540429935849257,0.047146917921586415,0.057936464727482075,-0.00017570414908416794,0.2655454820490676
Finance,0.007317071635221106,0.03693918433623419,0.043369675096902933,-0.0008077371882976839,0.3555496623467411
Healthcare,0.029675899064394495,0.03476901797396891,0.04044010433940416,-0.0015341800591740663,0.23871010984585217
Retail,0.04181759318214451,0.030275054628846276,0.037962518170572675,-0.0017204060693174305,0.2565734686788441
Agriculture,0.1165567544218079,0.035284264543209494,0.043075834250927765,-0.003394170273679216,0.21577837943271305
Tech,0.05536510816854612,0.05165585552168117,0.06752423135730122,-0.003546224834665624,0.3146148143754752
