industry,linear_r2,linear_mae,linear_rmse,linear_pred_2030,rf_r2,rf_mae,rf_rmse,rf_pred_2030,gb_r2,gb_mae,gb_rmse,gb_pred_2030,poly_r2,poly_mae,poly_rmse,poly_pred_2030
Agriculture,0.1165567544218079,0.035284264543209494,0.043075834250927765,0.21577837943271305,0.7824027714815862,0.016242992368750736,0.021378195762897435,0.24168312076611506,0.9983141863293583,0.001561846653825331,0.0018816946733238912,0.2448768523433624,0.12950397376578737,0.03394913206818254,0.0427590222972296,0.2530374728012248
Education,0.00019540429935849257,0.047146917921586415,0.057936464727482075,0.2655454820490676,0.7271053960667347,0.026715000140863716,0.030268569800168007,0.26843296868296884,0.9992272005730661,0.0013945011826584676,0.0016107488221224612,0.28325811836749343,0.00254408964229047,0.04775996904315764,0.05786837415518804,0.24548199082767042
Energy,0.006277673394153749,0.05071042378454383,0.06265210925192763,0.28697629179251694,0.8012185101984998,0.02272907602131588,0.028021484767144972,0.2564375340501793,0.9997835068408318,0.0007872595380362286,0.0009247519627813019,0.20008443614604626,0.04575259042673596,0.04790163806633677,0.06139509386214806,0.19775603970902011
Finance,0.007317071635221106,0.03693918433623419,0.043369675096902933,0.3555496623467411,0.8844822226795211,0.012638532647107747,0.014794670734456573,0.3106718946795052,0.9997759523052767,0.0005266634556192681,0.0006515550750657937,0.3009203292008884,0.20541112419424667,0.03278854745032048,0.03880182319272395,0.21712410814052419
Government,0.05873996898970424,0.04251796582403018,0.05696648546069059,0.30189937614820206,0.7901222468969908,0.020159519642513283,0.026899723803212403,0.2877902124183009,0.9996900765316922,0.0007880770780598493,0.001033693652742765,0.2916878811422139,0.07687105232377867,0.041461950607770415,0.056415157212491504,0.24540878038419578
Healthcare,0.029675899064394495,0.03476901797396891,0.04044010433940416,0.23871010984585217,0.7856810052493916,0.015147663433361032,0.01900571401291565,0.21887108013937268,0.9993238269239523,0.0008872231084513776,0.00106753665315933,0.20763355815685397,0.13787938062321448,0.030662751887150085,0.038118681854415824,0.1422219250962371
Manufacturing,0.005950283661921629,0.03696246681573255,0.04365127322729893,0.2690059990411966,0.8851043067642395,0.012613898411242733,0.014840370306062283,0.2606461644306848,0.9996862889948733,0.0006437257315592554,0.000775457034581833,0.2712910826822565,0.012714689497067,0.03615973731200705,0.04350249848908393,0.29473407746468183
Retail,0.04181759318214451,0.030275054628846276,0.037962518170572675,0.2565734686788441,0.7336297153893521,0.016489616772769056,0.020015839223652705,0.27979402002621767,0.9991067081567854,0.0009848680291936664,0.001159117868359409,0.2953238508726444,0.048614134503902506,0.03029620659764845,0.037827641457725575,0.27941759524685494
Tech,0.05536510816854612,0.05165585552168117,0.06752423135730122,0.3146148143754752,0.8636267842822041,0.02099572915917286,0.025656192083513076,0.3895430745871923,0.9996370847040893,0.0010908767118456165,0.0013235193471691253,0.4155234112811801,0.09205474307087191,0.05165585552353524,0.06619992384506816,0.40969696870115513
